date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:13	152732/152732	---M-Z	200	added ('OK')	text/html	etag:24ec7fe6c7ea7fd96433e4fb71fa4fcc	http://trystack.mediumra.re/shop-terms.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/shop-terms.html	(from http://trystack.mediumra.re/index.html)
13:30:14	156198/156198	---M-Z	200	added ('OK')	text/html	etag:e5f6de7d3a459bba4a0218ea5c495211	http://trystack.mediumra.re/portfolio-one-1col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-one-1col.html	(from http://trystack.mediumra.re/index.html)
13:30:14	156215/156215	---M-Z	200	added ('OK')	text/html	etag:f34a85b8e8c48552314027ea6c3b2e8b	http://trystack.mediumra.re/portfolio-one-2col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-one-2col.html	(from http://trystack.mediumra.re/index.html)
13:30:15	156241/156241	---M-Z	200	added ('OK')	text/html	etag:edd4edf3efa51f292ce36b07a97a6c17	http://trystack.mediumra.re/portfolio-one-3col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-one-3col.html	(from http://trystack.mediumra.re/index.html)
13:30:16	160033/160033	---M-Z	200	added ('OK')	text/html	etag:7ba66b91a7dfb15db97729c3ff7b27e6	http://trystack.mediumra.re/portfolio-two-1col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-two-1col.html	(from http://trystack.mediumra.re/index.html)
13:30:16	160087/160087	---M-Z	200	added ('OK')	text/html	etag:ef104cbb4fd82c1bae4ea8ad9e193208	http://trystack.mediumra.re/portfolio-two-2col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-two-2col.html	(from http://trystack.mediumra.re/index.html)
13:30:17	160141/160141	---M-Z	200	added ('OK')	text/html	etag:445e427f083bca95f554888dbf1bde4e	http://trystack.mediumra.re/portfolio-two-3col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-two-3col.html	(from http://trystack.mediumra.re/index.html)
13:30:18	159949/159949	---M-Z	200	added ('OK')	text/html	etag:5d55e4e5bd99baa5605a44dc6bcffba0	http://trystack.mediumra.re/portfolio-three-1col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-three-1col.html	(from http://trystack.mediumra.re/index.html)
13:30:18	160003/160003	---M-Z	200	added ('OK')	text/html	etag:73170fbc8c8776602e789d96a6ecd795	http://trystack.mediumra.re/portfolio-three-2col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-three-2col.html	(from http://trystack.mediumra.re/index.html)
13:30:19	160057/160057	---M-Z	200	added ('OK')	text/html	etag:b71c7590e739f0a182525058256c5a31	http://trystack.mediumra.re/portfolio-three-3col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-three-3col.html	(from http://trystack.mediumra.re/index.html)
13:30:19	157923/157923	---M-Z	200	added ('OK')	text/html	etag:341ba763f4508fbf67956d1c998de7a3	http://trystack.mediumra.re/portfolio-four-2col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-four-2col.html	(from http://trystack.mediumra.re/index.html)
13:30:20	157923/157923	---M-Z	200	added ('OK')	text/html	etag:078c8daec57b57db6dbe74855b35f502	http://trystack.mediumra.re/portfolio-four-3col.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-four-3col.html	(from http://trystack.mediumra.re/index.html)
13:30:21	153920/153920	---M-Z	200	added ('OK')	text/html	etag:7f2335ef8a82e2ee9a6eb8f8d70010bd	http://trystack.mediumra.re/portfolio-case-study-1.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-case-study-1.html	(from http://trystack.mediumra.re/index.html)
13:30:21	136217/136217	---M-Z	200	added ('OK')	text/html	etag:bdafa2f3a8b29d10ca417145507179f4	http://trystack.mediumra.re/portfolio-case-study-2.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-case-study-2.html	(from http://trystack.mediumra.re/index.html)
13:30:22	146027/146027	---M-Z	200	added ('OK')	text/html	etag:58a3de341af91cac70283e0c52f07882	http://trystack.mediumra.re/portfolio-case-study-3.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-case-study-3.html	(from http://trystack.mediumra.re/index.html)
13:30:22	156702/156702	---M-Z	200	added ('OK')	text/html	etag:49e00ef51556bfb4c3b9253fb70b72d5	http://trystack.mediumra.re/portfolio-single-1.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-single-1.html	(from http://trystack.mediumra.re/index.html)
13:30:23	156861/156861	---M-Z	200	added ('OK')	text/html	etag:2a590729003b6888ccd31eaadabc69df	http://trystack.mediumra.re/portfolio-single-2.html	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/portfolio-single-2.html	(from http://trystack.mediumra.re/index.html)
13:30:28	47772/47772	---M--	200	added ('OK')	image/jpeg	etag:2c8c2e099e585080b807263338de554e	http://trystack.mediumra.re/img/demos/landing-1.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-1.jpg	(from http://trystack.mediumra.re/index.html)
13:30:30	40100/40100	---M--	200	added ('OK')	image/jpeg	etag:81bb3758400951731c1c4b1ebfe3ed31	http://trystack.mediumra.re/img/demos/landing-2.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-2.jpg	(from http://trystack.mediumra.re/index.html)
13:30:30	42667/42667	---M--	200	added ('OK')	image/jpeg	etag:aa644e78b2a8b8edf06a841f8ef5712e	http://trystack.mediumra.re/img/demos/landing-3.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-3.jpg	(from http://trystack.mediumra.re/index.html)
13:30:34	29035/29035	---M--	200	added ('OK')	image/jpeg	etag:bba9857c5a98ca5d363b0b90eb9aa065	http://trystack.mediumra.re/img/demos/landing-6.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-6.jpg	(from http://trystack.mediumra.re/index.html)
13:30:36	49742/49742	---M--	200	added ('OK')	image/jpeg	etag:3e88334e26262cb952d85f3bff06cbe5	http://trystack.mediumra.re/img/demos/landing-5.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-5.jpg	(from http://trystack.mediumra.re/index.html)
13:30:36	37448/37448	---M--	200	added ('OK')	image/jpeg	etag:a92ca5eb55743fec55335bb9dc60fe6c	http://trystack.mediumra.re/img/demos/landing-7.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-7.jpg	(from http://trystack.mediumra.re/index.html)
13:30:39	94468/94468	---M--	200	added ('OK')	image/jpeg	etag:8b799de954fcde8d9d43169496fa0aba	http://trystack.mediumra.re/img/demos/landing-4.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-4.jpg	(from http://trystack.mediumra.re/index.html)
13:30:40	35186/35186	---M--	200	added ('OK')	image/jpeg	etag:fdaf3698737db37ece3c76ecaa9010b3	http://trystack.mediumra.re/img/demos/landing-8.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-8.jpg	(from http://trystack.mediumra.re/index.html)
13:30:42	35262/35262	---M--	200	added ('OK')	image/jpeg	etag:000e623ce2a1c52cfbfcea30bad7e81b	http://trystack.mediumra.re/img/demos/landing-9.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-9.jpg	(from http://trystack.mediumra.re/index.html)
13:30:43	38253/38253	---M--	200	added ('OK')	image/jpeg	etag:265fe95462fff06be4cc74fa74a4548e	http://trystack.mediumra.re/img/demos/landing-10.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/landing-10.jpg	(from http://trystack.mediumra.re/index.html)
13:30:43	25996/25996	---M--	200	added ('OK')	image/jpeg	etag:3a5de186205e03fe9b2847af8a3f849a	http://trystack.mediumra.re/img/demos/software-1.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/software-1.jpg	(from http://trystack.mediumra.re/index.html)
13:30:46	35610/35610	---M--	200	added ('OK')	image/jpeg	etag:1855f5462e6c4cc21eafcf6865d4b197	http://trystack.mediumra.re/img/demos/software-2.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/software-2.jpg	(from http://trystack.mediumra.re/index.html)
13:30:49	43600/43600	---M--	200	added ('OK')	image/jpeg	etag:470f21517c509f51a31729c9272f2d12	http://trystack.mediumra.re/img/demos/software-3.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/software-3.jpg	(from http://trystack.mediumra.re/index.html)
13:30:50	41604/41604	---M--	200	added ('OK')	image/jpeg	etag:138dba36d0e134c49d4d0778cfd9dbb8	http://trystack.mediumra.re/img/demos/construction.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/construction.jpg	(from http://trystack.mediumra.re/index.html)
13:30:51	52199/52199	---M--	200	added ('OK')	image/jpeg	etag:8c57fc59afb9a8a981ca1119dd97a36a	http://trystack.mediumra.re/img/demos/accommodation.jpg	C:/My%20Web%20Sites/New%20WebDevelopment/trystack.mediumra.re/img/demos/accommodation.jpg	(from http://trystack.mediumra.re/index.html)
